chr,start,end
chr7,13432691,13436875
chr17,15680826,15681960
chr13,65748695,65749489
chr11,50713181,50714450
chr13,66628788,66630406
chr13,66675967,66676273
chr13,66382350,66383380
chr13,66328037,66328905
chr8,108948303,108949665
chr13,66140835,66142050
chr13,65499494,65500066
chr13,66675464,66675883
chr3,19835151,19835338
chr2,165205889,165206665
chr13,65904516,65906203
chr7,30936638,30937966
chr11,96950142,96950573
chr5,105066610,105067825
chr4,146552954,146554057
chr13,65398323,65398996
chr13,66770790,66772445
chr11,77689640,77690353
chr13,53439972,53440346
chr13,65791391,65792466
chr13,66058816,66059077
chr7,140879722,140880363
chr13,66951573,66953844
chr4,61852241,61852970
chr13,66059136,66059878
chr13,66263941,66264961
chr1,168055117,168055697
chr9,22082632,22083634
chr12,21936071,21936643
chr13,65648287,65649287
chr6,120921563,120922098
chr5,105243371,105244211
chr3,12856758,12857518
chr13,65612831,65614405
chr10,41100222,41100687
chr13,65439133,65439342
chr7,24890290,24891290
chr7,13628611,13629193
chr13,65863175,65864461
chr4,145418110,145419155
chr12,20090608,20091537
chr1,30290051,30290214
chr13,65439391,65440664
chr7,13078746,13079653
chr9,116336331,116336765
chr13,65647744,65648215
chr13,66222094,66223829
chr9,121103258,121103700
chr4,146705980,146707130
chr6,83071246,83071788
chr7,115413448,115413941
chr11,59277010,59277682
chr16,31897259,31897721
chr2,101801399,101801684
chr7,30660077,30660820
chr13,66007272,66008060
chr4,146092163,146093236
chr2,181681724,181681896
chr11,50646343,50647129
chr4,145291796,145293330
chr4,146162874,146165124
chr13,66008125,66008260
chr10,75111626,75111963
chr19,43017846,43018254
chr19,9682245,9682616
chr5,110557447,110557849
chr4,145659533,145660764
chr2,180085493,180085721
chr13,66698807,66698880
chr4,146363640,146364860
chr4,147048402,147049665
chr5,122111385,122111931
chr1,71682334,71682875
chr12,23601771,23602154
chr7,30577578,30578261
chr7,86326119,86326419
chr3,35720885,35721286
chr4,145730351,145731467
chr12,18927618,18927910
chr12,23415387,23416191
chr2,31094850,31095191
chr4,35104687,35104955
chr8,74726903,74727242
chr4,145489406,145489877
chr11,62593011,62593936
chr12,24900317,24900661
chr12,20526078,20526460
chr5,139047694,139048188
chr6,33744362,33744700
chr7,134755023,134755713
chr7,13427706,13428028
chr2,150865571,150865866
chr5,105178352,105180066
chr12,17909746,17910471
chr13,65499240,65499421
chr7,6611491,6612040
chr12,22912396,22912737
chr12,24562486,24562820
chr13,22069958,22070104
chr13,64262996,64263555
chr19,6030002,6030361
chr7,19926923,19927243
chr9,84176276,84176655
chr12,25022186,25022282
chr5,105119546,105121249
chr13,66893406,66894199
chr13,66440348,66441837
chr12,80579293,80579743
chr13,66008336,66008948
chr18,24161314,24161947
chr3,12857592,12857840
chr1,184681475,184681956
chr10,78529359,78530039
chr16,37061723,37061954
chr3,96091292,96091670
chr7,28774119,28774668
chr12,24899627,24900267
chr12,19632251,19632438
chr12,22048939,22049153
chr12,24242594,24242971
chr12,24393795,24394135
chr7,13346788,13346952
chr4,146765433,146766252
chr13,73602779,73603025
chr2,26502572,26502704
chr18,37064306,37064721
chr7,89447588,89447794
chr8,87678506,87678732
chr12,24899020,24899476
chr13,66531953,66533377
chr12,24613922,24614151
chr13,66698942,66699482
chr12,18411725,18413213
chr12,20905721,20906434
chr6,85432003,85432494
chr11,74655103,74655442
chr12,21062621,21062948
chr12,22049930,22050245
chr12,23466692,23466969
chr13,14056859,14057180
chr17,22851586,22851917
chr5,149125757,149126015
chr8,73153586,73153931
chr2,56964599,56965026
chr5,116134531,116134903
chr7,104740164,104740415
chr14,46167737,46168099
chr1,134867693,134868054
chr11,117219578,117219929
chr12,22049362,22049859
chr5,134774880,134775365
chr7,30550628,30550723
chr12,19412156,19413209
chr1,188337201,188337397
chr12,18158096,18158604
chr12,23416258,23416781
chr14,111536802,111537082
chr9,104501220,104501446
chr14,14006797,14007010
chr14,46967899,46968395
chr15,85219043,85219341
chr12,19505517,19507157
chr5,105067891,105068259
chr4,146017382,146017561
